Name,Score,Type,Episodes,Aired,Source,Rating,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,Score-1,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5
Kidou Tenshi Angelic Layer,7.214934180662732,TV,26,"Apr 1, 2001 to Sep 23, 2001",Manga,PG-13 - Teens 13 or older,51022,290,1653,32978,2615,2852,10924,1644.0,3245.0,6253.0,7975.0,4261.0,2092.0,579.0,211.0,89.0,87.0,Sci-Fi, Comedy, Sports, Drama, Shounen
Ai Yori Aoshi,7.080590568349358,TV,24,"Apr 11, 2002 to Sep 26, 2002",Manga,PG-13 - Teens 13 or older,94793,458,4111,60075,4160,5814,20633,3124.0,5402.0,10587.0,13835.0,8066.0,4414.0,1627.0,609.0,287.0,206.0,Harem, Slice of Life, Comedy, Drama, Romance
Appleseed (Movie),7.11660455054862,Movie,1,"Apr 17, 2004",Manga,R - 17+ (violence & profanity),65139,173,787,52100,403,489,11360,2107.0,4369.0,8991.0,11644.0,6182.0,3050.0,1249.0,451.0,213.0,113.0,Action, Military, Sci-Fi, Police, Drama
Arc the Lad,6.469459962756052,TV,26,"Apr 5, 1999 to Sep 11, 1999",Game,R - 17+ (violence & profanity),14187,17,581,7032,718,910,4946,174.0,271.0,762.0,1605.0,1252.0,814.0,297.0,108.0,50.0,37.0,Action, Adventure, Fantasy, Horror, Sci-Fi
Avenger,5.85238170099041,TV,13,"Oct 2, 2003 to Dec 25, 2003",Original,R - 17+ (violence & profanity),15779,21,617,7906,712,1255,5289,166.0,259.0,699.0,1335.0,1371.0,1135.0,698.0,343.0,222.0,133.0,Adventure, Fantasy, Sci-Fi, Shounen,
Beck,8.252832024463132,TV,26,"Oct 7, 2004 to Mar 31, 2005",Manga,R - 17+ (violence & profanity),255668,7038,10580,133432,10190,8488,92978,23840.0,31103.0,30926.0,17566.0,6598.0,3000.0,1173.0,446.0,225.0,235.0,Comedy, Drama, Music, Shounen, Slice of Life
Blue Gender,6.996116504854369,TV,26,"Oct 8, 1999 to Mar 31, 2000",Original,R+ - Mild Nudity,65360,389,2738,31583,2534,3195,25310,1451.0,2733.0,5800.0,7810.0,4354.0,2327.0,1012.0,381.0,229.0,168.0,Adventure, Romance, Mecha, Military, Sci-Fi
Chobits,7.389672397717189,TV,26,"Apr 3, 2002 to Sep 25, 2002",Manga,PG-13 - Teens 13 or older,402646,3859,15294,272425,18082,22409,74436,20499.0,32733.0,55560.0,58689.0,29800.0,14855.0,5772.0,2124.0,1159.0,816.0,Sci-Fi, Comedy, Drama, Romance, Ecchi
Chrno Crusade,7.616295689093469,TV,24,"Nov 25, 2003 to Jun 10, 2004",Manga,R - 17+ (violence & profanity),198007,2064,8228,117484,9881,9842,52572,11469.0,16051.0,25109.0,23075.0,11012.0,5331.0,1919.0,652.0,280.0,256.0,Action, Demons, Historical, Romance, Shounen
D.N.Angel,7.152391195706494,TV,26,"Apr 3, 2003 to Sep 25, 2003",Manga,PG-13 - Teens 13 or older,167615,1523,5183,117045,7599,11057,26731,7515.0,11105.0,19858.0,25101.0,15032.0,8167.0,3203.0,1092.0,595.0,378.0,Action, Comedy, Magic, Romance, Fantasy
D.C.: Da Capo,6.724794112493429,TV,26,"Jul 5, 2003 to Dec 27, 2003",Visual novel,PG-13 - Teens 13 or older,67491,189,3024,36037,2840,3852,21738,1542.0,2446.0,5172.0,7807.0,5472.0,3340.0,1493.0,645.0,376.0,242.0,Harem, Drama, Magic, Romance,
DearS,6.600092606883778,TV,12,"Jul 11, 2004 to Sep 26, 2004",Manga,R+ - Mild Nudity,128788,391,3766,95113,3066,5507,21336,3464.0,5632.0,11499.0,19352.0,14791.0,8839.0,4070.0,1863.0,1029.0,730.0,Sci-Fi, Harem, Comedy, Romance, Ecchi
Rozen Maiden,7.417384690483488,TV,12,"Oct 8, 2004 to Dec 24, 2004",Manga,PG-13 - Teens 13 or older,176775,2074,5599,113914,6040,7852,43370,7868.0,12729.0,23021.0,23961.0,11535.0,5531.0,2028.0,737.0,387.0,292.0,Action, Comedy, Drama, Magic, Seinen
Rozen Maiden: Träumend,7.666055521603052,TV,12,"Oct 21, 2005 to Jan 27, 2006",Manga,PG-13 - Teens 13 or older,93768,516,2006,73523,2114,1647,14478,5500.0,9205.0,15835.0,14172.0,5733.0,2345.0,760.0,255.0,95.0,97.0,Action, Comedy, Drama, Magic, Seinen
Azumanga Daioh,7.892334866253998,TV,26,"Apr 9, 2002 to Oct 1, 2002",4-koma manga,PG-13 - Teens 13 or older,262980,5181,13747,143431,16133,13115,76554,18422.0,27283.0,35693.0,25478.0,10326.0,5162.0,1797.0,707.0,406.0,412.0,Slice of Life, Comedy, School,,
Basilisk: Kouga Ninpou Chou,7.5230771454590135,TV,24,"Apr 13, 2005 to Sep 21, 2005",Manga,R - 17+ (violence & profanity),156661,1467,6964,82153,6380,6957,54207,6677.0,11140.0,19570.0,17421.0,7816.0,3800.0,1554.0,643.0,316.0,244.0,Action, Adventure, Historical, Supernatural, Romance
Black Cat (TV),7.350747307431315,TV,23,"Oct 7, 2005 to Mar 31, 2006",Manga,PG-13 - Teens 13 or older,231668,1955,10510,142921,11736,11003,55498,8654.0,15253.0,29392.0,34019.0,16081.0,7534.0,2521.0,863.0,395.0,234.0,Sci-Fi, Adventure, Comedy, Super Power, Shounen
Cluster Edge,6.2403571428571425,TV,25,"Oct 5, 2005 to Mar 29, 2006",Original,PG-13 - Teens 13 or older,9299,13,500,3068,629,942,4160,113.0,162.0,372.0,652.0,627.0,412.0,261.0,108.0,62.0,31.0,Action, Fantasy, Military, Sci-Fi,
Full Metal Panic!,7.6326800659725995,TV,24,"Jan 8, 2002 to Jun 18, 2002",Light novel,R - 17+ (violence & profanity),411230,4417,17458,264665,16076,13806,99225,17675.0,36500.0,64969.0,56993.0,21492.0,9171.0,3035.0,991.0,448.0,329.0,Action, Military, Sci-Fi, Comedy, Mecha
Full Metal Panic? Fumoffu,8.064221482687815,TV,12,"Aug 26, 2003 to Oct 18, 2003",Light novel,PG-13 - Teens 13 or older,254465,2988,5383,204041,4435,3533,37073,24023.0,37507.0,45884.0,30305.0,11085.0,4417.0,1332.0,442.0,194.0,164.0,Action, Comedy, School,,
Full Metal Panic! The Second Raid,7.957522495816041,TV,13,"Jul 14, 2005 to Oct 20, 2005",Light novel,R - 17+ (violence & profanity),227927,1358,4667,177524,3840,2271,39625,14139.0,30146.0,45246.0,29917.0,9377.0,3127.0,816.0,235.0,115.0,129.0,Action, Military, Mecha,,
Gakuen Alice,7.643331349297194,TV,26,"Oct 30, 2004 to May 14, 2005",Manga,G - All Ages,81446,1613,2495,57369,2843,2916,15823,5560.0,7151.0,11074.0,11158.0,5331.0,2357.0,618.0,214.0,115.0,104.0,Comedy, School, Shoujo, Super Power,
Soukyuu no Fafner: Dead Aggressor,7.211177794448612,TV,25,"Jul 5, 2004 to Dec 27, 2004",Original,PG-13 - Teens 13 or older,40602,255,2179,16417,1849,1987,18170,926.0,1667.0,3344.0,3838.0,1827.0,955.0,424.0,184.0,94.0,71.0,Action, Drama, Mecha, Military, Sci-Fi
Mahou Shoujo Lyrical Nanoha,7.4044174459808705,TV,13,"Oct 3, 2004 to Dec 26, 2004",Original,PG-13 - Teens 13 or older,88890,1036,3287,47731,2865,2625,32382,3193.0,5032.0,9945.0,10737.0,4999.0,2363.0,736.0,276.0,140.0,112.0,Action, Comedy, Drama, Magic, Super Power
Mahou Shoujo Lyrical Nanoha A's,7.988665738715451,TV,13,"Oct 2, 2005 to Dec 25, 2005",Original,PG-13 - Teens 13 or older,56981,1014,1367,40165,1088,828,13533,4189.0,6809.0,9368.0,6267.0,2220.0,864.0,250.0,83.0,53.0,71.0,Action, Comedy, Drama, Magic, Super Power
Shuffle!,7.044252963515194,TV,24,"Jul 8, 2005 to Jan 6, 2006",Visual novel,R+ - Mild Nudity,240751,1572,10943,151944,9558,13227,55079,8852.0,14660.0,26443.0,32343.0,18951.0,10530.0,5019.0,2184.0,1323.0,1088.0,Harem, Comedy, Drama, Magic, Romance
Mobile Suit Gundam,7.7657632995711285,TV,43,"Apr 7, 1979 to Jan 26, 1980",Original,PG-13 - Teens 13 or older,97216,1787,7737,52669,5473,3100,28237,5395.0,7488.0,12922.0,11417.0,4169.0,1598.0,505.0,179.0,59.0,104.0,Action, Military, Sci-Fi, Space, Mecha
Mobile Suit Gundam: The 08th MS Team,8.050259216589861,OVA,12,"Jan 25, 1996 to Jul 25, 1999",Original,PG-13 - Teens 13 or older,62655,911,2405,43537,1437,794,14482,4241.0,8768.0,11589.0,6745.0,2121.0,819.0,262.0,87.0,38.0,50.0,Adventure, Drama, Mecha, Military, Romance
Mobile Suit Gundam 0080: War in the Pocket,7.923980065883943,OVA,6,"Mar 25, 1989 to Aug 25, 1989",Original,PG-13 - Teens 13 or older,43308,717,978,30112,595,392,11231,2957.0,5210.0,7398.0,5147.0,1817.0,748.0,236.0,82.0,36.0,47.0,Military, Sci-Fi, Space, Drama, Mecha
Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.847387480600103,Movie,1,"Aug 1, 1998",Original,PG-13 - Teens 13 or older,11460,3,149,8314,130,136,2731,275.0,461.0,1054.0,1788.0,1273.0,630.0,193.0,73.0,30.0,22.0,Military, Sci-Fi, Drama, Romance, Mecha
Mobile Suit Gundam 0083: Stardust Memory,7.338780641106222,OVA,13,"May 23, 1991 to Sep 24, 1992",Original,PG-13 - Teens 13 or older,33687,230,977,24492,715,448,7055,1167.0,2602.0,5380.0,5460.0,2544.0,1163.0,497.0,180.0,58.0,41.0,Military, Sci-Fi, Adventure, Space, Drama
Mobile Suit Zeta Gundam,7.928104094684996,TV,50,"Mar 2, 1985 to Feb 22, 1986",Original,PG-13 - Teens 13 or older,53822,1721,3912,32798,2628,1049,13435,4021.0,5901.0,7986.0,5578.0,2118.0,896.0,392.0,152.0,65.0,97.0,Military, Sci-Fi, Space, Drama, Romance
Mobile Suit Gundam ZZ,6.645834718436274,TV,47,"Mar 1, 1986 to Jan 31, 1987",Original,PG-13 - Teens 13 or older,30758,130,1647,18408,1354,917,8432,622.0,1062.0,2740.0,4440.0,2977.0,1601.0,930.0,372.0,182.0,115.0,Space, Comedy, Mecha, Military, Drama
Mobile Suit Gundam: Char's Counterattack,7.722202770969839,Movie,1,"Mar 12, 1988",Novel,PG-13 - Teens 13 or older,34221,293,437,25957,233,171,7423,2400.0,3571.0,5995.0,4692.0,1865.0,824.0,376.0,147.0,69.0,54.0,Military, Sci-Fi, Space, Drama, Mecha
Mobile Suit Gundam F91,6.707486714598312,Movie,1,"Mar 16, 1991",Original,PG-13 - Teens 13 or older,23161,63,357,16731,207,193,5673,530.0,892.0,2239.0,3834.0,2824.0,1462.0,649.0,221.0,93.0,52.0,Drama, Mecha, Military, Sci-Fi, Space
Mobile Suit Victory Gundam,6.747479714777477,TV,51,"Apr 2, 1993 to Mar 25, 1994",Original,PG-13 - Teens 13 or older,20794,95,1225,10068,1094,628,7779,430.0,735.0,1589.0,2272.0,1406.0,796.0,487.0,240.0,90.0,89.0,Drama, Mecha, Military, Sci-Fi, Space
Mobile Suit Gundam Wing,7.72292309494981,TV,49,"Apr 7, 1995 to Mar 29, 1996",Original,PG-13 - Teens 13 or older,132208,2538,5922,95155,5945,4411,20775,9965.0,13704.0,21396.0,18315.0,7559.0,3460.0,1507.0,518.0,210.0,175.0,Action, Military, Sci-Fi, Space, Drama
Mobile Suit Gundam Wing: Endless Waltz,7.807714689500374,OVA,3,"Jan 25, 1997 to Jul 25, 1997",Original,PG-13 - Teens 13 or older,41030,221,500,34369,280,250,5631,3190.0,4480.0,6953.0,5766.0,2210.0,921.0,307.0,127.0,54.0,50.0,Action, Drama, Mecha, Military, Sci-Fi
After War Gundam X,7.298043461449231,TV,39,"Apr 5, 1996 to Dec 28, 1996",Original,PG-13 - Teens 13 or older,28862,189,1554,15987,1746,983,8592,788.0,1633.0,3412.0,3998.0,1801.0,813.0,304.0,100.0,43.0,39.0,Sci-Fi, Adventure, Space, Drama, Mecha
Mobile Suit Gundam SEED,7.742567006786115,TV,50,"Oct 5, 2002 to Sep 27, 2003",Original,R - 17+ (violence & profanity),140346,3584,4898,101920,4589,5021,23918,11353.0,15863.0,22505.0,17695.0,7560.0,3710.0,1701.0,762.0,379.0,404.0,Action, Drama, Mecha, Military, Romance
Mobile Suit Gundam SEED Destiny,7.197843713802014,TV,50,"Oct 9, 2004 to Oct 1, 2005",Original,R - 17+ (violence & profanity),90208,1206,2210,70845,2251,2749,12153,5979.0,8245.0,12662.0,12913.0,6928.0,3887.0,2752.0,1300.0,865.0,584.0,Action, Drama, Mecha, Military, Romance
Turn A Gundam,7.6239792713567835,TV,50,"Apr 9, 1999 to Apr 14, 2000",Original,PG-13 - Teens 13 or older,35670,760,2378,14651,2327,1448,14866,1815.0,2212.0,3129.0,2892.0,1403.0,706.0,299.0,127.0,87.0,66.0,Action, Military, Sci-Fi, Adventure, Space
Mobile Fighter G Gundam,7.5386532051904345,TV,49,"Apr 1, 1994 to Mar 31, 1995",Original,PG-13 - Teens 13 or older,55463,896,2499,38653,2505,1607,10199,3208.0,4873.0,8426.0,8118.0,3463.0,1607.0,696.0,279.0,129.0,104.0,Adventure, Comedy, Drama, Martial Arts, Mecha
Last Exile,7.78313440017384,TV,26,"Apr 8, 2003 to Sep 30, 2003",Original,PG-13 - Teens 13 or older,149528,1848,5943,77235,6541,5038,54771,7078.0,12558.0,20122.0,14844.0,5886.0,2579.0,825.0,286.0,140.0,109.0,Action, Sci-Fi, Adventure,,
Mai-HiME,7.418682739634604,TV,26,"Sep 30, 2004 to Mar 31, 2005",Original,PG-13 - Teens 13 or older,101495,1262,3442,60321,3690,4215,29827,4076.0,7287.0,12622.0,12897.0,6091.0,3053.0,1129.0,391.0,211.0,191.0,Action, Comedy, Drama, Fantasy, Magic
Mai-Otome,7.263226787146898,TV,26,"Oct 7, 2005 to Mar 31, 2006",Original,PG-13 - Teens 13 or older,46018,333,1147,31335,1222,1598,10716,1673.0,3271.0,5798.0,6647.0,3441.0,1676.0,706.0,242.0,128.0,101.0,Comedy, Drama, Fantasy, Magic,
Shin Shirayuki-hime Densetsu Prétear,7.189107472415283,TV,13,"Apr 4, 2001 to Jun 27, 2001",Manga,PG-13 - Teens 13 or older,53508,457,1607,33827,1504,1760,14810,2198.0,3135.0,5368.0,7030.0,4152.0,2306.0,783.0,270.0,127.0,98.0,Comedy, Drama, Fantasy, Magic, Romance
Air,7.3080306757343365,TV,12,"Jan 7, 2005 to Mar 25, 2005",Visual novel,PG-13 - Teens 13 or older,259381,2704,7367,170036,8109,9992,63877,15057.0,20060.0,31042.0,33295.0,19368.0,10463.0,4988.0,2039.0,1105.0,803.0,Slice of Life, Supernatural, Drama, Romance,
Aishiteruze Baby★★,7.427566603037596,TV,26,"Apr 3, 2004 to Oct 9, 2004",Manga,PG-13 - Teens 13 or older,89533,571,3772,59770,4008,4946,17037,4497.0,7282.0,12321.0,12618.0,6389.0,3227.0,1069.0,426.0,187.0,180.0,Comedy, Drama, Romance, Shoujo,
Akazukin Chacha,7.331414655744964,TV,74,"Jan 7, 1994 to Jun 30, 1995",Manga,G - All Ages,12006,88,691,5140,993,994,4188,407.0,578.0,1068.0,1283.0,664.0,379.0,76.0,28.0,18.0,16.0,Adventure, Comedy, Fantasy, Magic, Romance
Ayashi no Ceres,7.1955093753732235,TV,24,"Apr 20, 2000 to Sep 28, 2000",Manga,R - 17+ (violence & profanity),53189,535,2099,31162,2479,3400,14049,2450.0,3244.0,5415.0,6299.0,3891.0,2210.0,923.0,322.0,216.0,149.0,Adventure, Comedy, Horror, Psychological, Supernatural
Boys Be...,6.3908358986502485,TV,13,"Apr 11, 2000 to Jul 4, 2000",Manga,PG-13 - Teens 13 or older,20032,41,768,10371,809,1385,6699,293.0,487.0,1201.0,2242.0,1965.0,1301.0,521.0,206.0,135.0,95.0,Slice of Life, Comedy, Romance, Shounen,
Hana yori Dango,7.624478712055087,TV,51,"Sep 8, 1996 to Aug 31, 1997",Manga,PG-13 - Teens 13 or older,48623,762,2502,25257,2178,2974,15712,3054.0,3590.0,4926.0,4575.0,2356.0,1150.0,531.0,184.0,131.0,125.0,Drama, Romance, School, Shoujo,
Ou Dorobou Jing,7.203912944566619,TV,13,"May 15, 2002 to Aug 14, 2002",Manga,PG-13 - Teens 13 or older,32988,210,1343,16532,1452,1714,11947,1207.0,1611.0,2900.0,3598.0,2020.0,1075.0,433.0,186.0,101.0,56.0,Adventure, Comedy, Fantasy, Sci-Fi, Shounen
Ou Dorobou Jing in Seventh Heaven,7.3396447394105016,OVA,3,"Jan 21, 2004 to Apr 28, 2004",Manga,PG-13 - Teens 13 or older,11591,29,283,7309,208,159,3632,465.0,673.0,1208.0,1470.0,746.0,344.0,141.0,42.0,20.0,14.0,Adventure, Fantasy, Psychological, Comedy, Shounen
